DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID0020107,Aspartame,22839-47-0,IAOZJIPTCAWIRG-QWRGUYRKSA-N,Methyl L-alpha-aspartyl-L-phenylalaninate,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,"InChI=1S/C14H18N2O5/c1-21-14(20)11(7-9-5-3-2-4-6-9)16-13(19)10(15)8-12(17)18/h2-6,10-11H,7-8,15H2,1H3,(H,16,19)(H,17,18)/t10-,11-/m0/s1",C14H18N2O5,294.307,294.1215717,61,862,111,84
DTXSID0020151,Benzyl acetate,140-11-4,QUKGYYKBILRGFE-UHFFFAOYSA-N,Benzyl acetate,CC(=O)OCC1=CC=CC=C1,"InChI=1S/C9H10O2/c1-8(10)11-7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",C9H10O2,150.177,150.0680796,89,44,101,18256
DTXSID0020153,Benzyl chloride,100-44-7,KCXMKQUNVWSEMD-UHFFFAOYSA-N,(Chloromethyl)benzene,ClCC1=CC=CC=C1,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",C7H7Cl,126.58,126.0236279,95,131,133,54
DTXSID0020155,Benzyl isothiocyanate,622-78-6,MDKCFLQDBWCQCV-UHFFFAOYSA-N,(Isothiocyanatomethyl)benzene,S=C=NCC1=CC=CC=C1,"InChI=1S/C8H7NS/c10-7-9-6-8-4-2-1-3-5-8/h1-5H,6H2",C8H7NS,149.21,149.0299204,44,186,129,3
DTXSID0020157,Benzylhydrazine dihydrochloride,20570-96-1,MSJHOJKVMMEMNX-UHFFFAOYSA-N,Benzylhydrazine--hydrogen chloride (1/2),Cl.Cl.NNCC1=CC=CC=C1,"InChI=1S/C7H10N2.2ClH/c8-9-6-7-4-2-1-3-5-7;;/h1-5,9H,6,8H2;2*1H",C7H12Cl2N2,195.09,194.0377538,22,12,82,-
DTXSID0020232,Caffeine,58-08-2,RYYVLZVUVIJVGH-UHFFFAOYSA-N,"1,3,7-Trimethyl-3,7-dihydro-1H-purine-2,6-dione",CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",C8H10N4O2,194.194,194.0803756,119,21207,287,2384
DTXSID0020236,Calcium lactate,814-80-2,MKJXYGKVIBWPFZ-UHFFFAOYSA-L,Calcium bis(2-hydroxypropanoate),[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,"InChI=1/2C3H6O3.Ca/c2*1-2(4)3(5)6;/h2*2,4H,1H3,(H,5,6);/q;;+2/p-2",C6H10CaO6,218.218,218.0103289,47,137,49,29
DTXSID0020238,Camostat mesylate,59721-29-8,FSEKIHNIDBATFG-UHFFFAOYSA-N,Methanesulfonic acid--4-{2-[2-(dimethylamino)-2-oxoethoxy]-2-oxoethyl}phenyl 4-carbamimidamidobenzoate (1/1),CS(O)(=O)=O.CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1,"InChI=1S/C20H22N4O5.CH4O3S/c1-24(2)17(25)12-28-18(26)11-13-3-9-16(10-4-13)29-19(27)14-5-7-15(8-6-14)23-20(21)22;1-5(2,3)4/h3-10H,11-12H2,1-2H3,(H4,21,22,23);1H3,(H,2,3,4)",C21H26N4O8S,494.52,494.147135,20,-,52,-
DTXSID0020280,1-Chloro-2-nitrobenzene,88-73-3,BFCFYVKQTRLZHA-UHFFFAOYSA-N,1-Chloro-2-nitrobenzene,[O-][N+](=O)C1=C(Cl)C=CC=C1,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,C6H4ClNO2,157.55,156.9930561,86,27,118,2
DTXSID0020282,"4-Chloro-1,3-diaminobenzene",5131-60-2,ZWUBBMDHSZDNTA-UHFFFAOYSA-N,"4-Chlorobenzene-1,3-diamine",NC1=CC(N)=C(Cl)C=C1,"InChI=1S/C6H7ClN2/c7-5-2-1-4(8)3-6(5)9/h1-3H,8-9H2",C6H7ClN2,142.59,142.0297759,43,2,88,-
DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate",61702-44-1,GQFGHCRXPLROOF-UHFFFAOYSA-N,"Sulfuric acid--2-chlorobenzene-1,4-diamine (1/1)",OS(O)(=O)=O.NC1=CC=C(N)C(Cl)=C1,"InChI=1S/C6H7ClN2.H2O4S/c7-5-3-4(8)1-2-6(5)9;1-5(2,3)4/h1-3H,8-9H2;(H2,1,2,3,4)",C6H9ClN2O4S,240.66,239.9971557,35,4,75,3
DTXSID0020286,3-Chloro-4-methylaniline,95-74-9,RQKFYFNZSHWXAW-UHFFFAOYSA-N,3-Chloro-4-methylaniline,CC1=C(Cl)C=C(N)C=C1,"InChI=1S/C7H8ClN/c1-5-2-3-6(9)4-7(5)8/h2-4H,9H2,1H3",C7H8ClN,141.6,141.034527,62,11,116,5
DTXSID0020288,4-Chloro-2-methylaniline hydrochloride,3165-93-3,VKYZDCTWJGBFDW-UHFFFAOYSA-N,4-Chloro-2-methylaniline--hydrogen chloride (1/1),Cl.CC1=C(N)C=CC(Cl)=C1,"InChI=1S/C7H8ClN.ClH/c1-5-4-6(8)2-3-7(5)9;/h2-4H,9H2,1H3;1H",C7H9Cl2N,178.06,177.0112047,33,23,43,4
DTXSID0020311,Monuron,150-68-5,BMLIZLVNXIYGCK-UHFFFAOYSA-N,"N'-(4-Chlorophenyl)-N,N-dimethylurea",CN(C)C(=O)NC1=CC=C(Cl)C=C1,"InChI=1S/C9H11ClN2O/c1-12(2)9(13)11-8-5-3-7(10)4-6-8/h3-6H,1-2H3,(H,11,13)",C9H11ClN2O,198.65,198.0559907,74,24,77,47
DTXSID0020315,Chloropicrin,76-06-2,LFHISGNCFUNFFM-UHFFFAOYSA-N,Trichloro(nitro)methane,[O-][N+](=O)C(Cl)(Cl)Cl,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7",CCl3NO2,164.37,162.8994613,81,146,56,76
DTXSID0020319,Chlorothalonil,1897-45-6,CRQQGFGUEAVUIL-UHFFFAOYSA-N,"2,4,5,6-Tetrachlorobenzene-1,3-dicarbonitrile",ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,InChI=1S/C8Cl4N2/c9-5-3(1-13)6(10)8(12)7(11)4(5)2-14,C8Cl4N2,265.9,263.8815588,105,251,120,244
DTXSID0020361,Cyclohexylamine hydrochloride,4998-76-9,ZJUGSKJHHWASAF-UHFFFAOYSA-N,Cyclohexanamine--hydrogen chloride (1/1),Cl.NC1CCCCC1,"InChI=1S/C6H13N.ClH/c7-6-4-2-1-3-5-6;/h6H,1-5,7H2;1H",C6H14ClN,135.64,135.0814772,31,-,45,-
DTXSID0020363,Cyclopentanone oxime,1192-28-5,YGNXYFLJZILPEK-UHFFFAOYSA-N,N-Cyclopentylidenehydroxylamine,ON=C1CCCC1,"InChI=1S/C5H9NO/c7-6-5-3-1-2-4-5/h7H,1-4H2",C5H9NO,99.133,99.06841391,36,1,80,-
DTXSID0020365,Cyclosporin A,59865-13-3,PMATZTZNYRCHOR-CGLBZJNRSA-N,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-Ethyl-33-[(1R,2R,4E)-1-hydroxy-2-methylhex-4-en-1-yl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone",CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"InChI=1S/C62H111N11O12/c1-25-27-28-40(15)52(75)51-56(79)65-43(26-2)58(81)67(18)33-48(74)68(19)44(29-34(3)4)55(78)66-49(38(11)12)61(84)69(20)45(30-35(5)6)54(77)63-41(16)53(76)64-42(17)57(80)70(21)46(31-36(7)8)59(82)71(22)47(32-37(9)10)60(83)72(23)50(39(13)14)62(85)73(51)24/h25,27,34-47,49-52,75H,26,28-33H2,1-24H3,(H,63,77)(H,64,76)(H,65,79)(H,66,78)/b27-25+/t40-,41+,42-,43+,44+,45+,46+,47+,49+,50+,51+,52-/m1/s1",C62H111N11O12,1202.635,1201.841368,63,27336,124,24
DTXSID0020367,l-Cysteine hydrochloride,52-89-1,IFQSXNOEEPCSLW-DKWTVANSSA-N,L-Cysteine--hydrogen chloride (1/1),Cl.N[C@@H](CS)C(O)=O,"InChI=1S/C3H7NO2S.ClH/c4-2(1-7)3(5)6;/h2,7H,1,4H2,(H,5,6);1H/t2-;/m0./s1",C3H8ClNO2S,157.61,156.9964274,38,33903,65,7
DTXSID0020369,Dacarbazine,4342-03-4,FDKXTQMXEQVLRF-UHFFFAOYSA-N,"4-(3,3-Dimethyltriaz-1-en-1-yl)-1H-imidazole-5-carboxamide",CN(C)N=NC1=C(NC=N1)C(N)=O,"InChI=1S/C6H10N6O/c1-12(2)11-10-6-4(5(7)13)8-3-9-6/h3H,1-2H3,(H2,7,13)(H,8,9)",C6H10N6O,182.187,182.091609,48,6164,63,11
DTXSID0020440,Dichlorprop,120-36-5,MZHCENGPTKEIGP-UHFFFAOYSA-N,"2-(2,4-Dichlorophenoxy)propanoic acid",CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,"InChI=1/C9H8Cl2O3/c1-5(9(12)13)14-8-3-2-6(10)4-7(8)11/h2-5H,1H3,(H,12,13)",C9H8Cl2O3,235.06,233.9850495,79,89,105,73
DTXSID0020442,"2,4-Dichlorophenoxyacetic acid",94-75-7,OVSKIKFHRZPJSS-UHFFFAOYSA-N,"(2,4-Dichlorophenoxy)acetic acid",OC(=O)COC1=C(Cl)C=C(Cl)C=C1,"InChI=1S/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)",C8H6Cl2O3,221.03,219.9693995,124,2614,175,173
DTXSID0020444,"2,4-D isooctyl ester",25168-26-7,-,-,"C*.CCCCCCCOC(=O)COC1=CC=C(Cl)C=C1Cl |c:18,t:13,15,lp:9:2,11:2,13:2,18:3,21:3,m:1:3.4.5.6.7.8|",-,-,-,-,30,6,-,27
DTXSID0020446,Diuron,330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,"N'-(3,4-Dichlorophenyl)-N,N-dimethylurea",CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",C9H10Cl2N2O,233.09,232.0170184,115,1257,132,252
DTXSID0020448,"1,2-Dichloropropane",78-87-5,KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-Dichloropropane",CC(Cl)CCl,"InChI=1/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",C3H6Cl2,112.98,111.9846556,105,74,89,27
DTXSID0020494,Dimethyl methylphosphonate,756-79-6,VONWDASPFIQPDY-UHFFFAOYSA-N,Dimethyl methylphosphonate,COP(C)(=O)OC,"InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3",C3H9O3P,124.076,124.0289311,73,84,79,21
DTXSID0020498,Dimethyl terephthalate,120-61-6,WOZVHXUHUFLZGK-UHFFFAOYSA-N,"Dimethyl benzene-1,4-dicarboxylate",COC(=O)C1=CC=C(C=C1)C(=O)OC,"InChI=1S/C10H10O4/c1-13-9(11)7-3-5-8(6-4-7)10(12)14-2/h3-6H,1-2H3",C10H10O4,194.186,194.0579088,80,35,98,23
DTXSID0020523,"2,4-Dinitrophenol",51-28-5,UFBJCMHMOXMLKC-UHFFFAOYSA-N,"2,4-Dinitrophenol",OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",C6H4N2O5,184.107,184.0120212,114,1694,154,11
DTXSID0020527,Dinitrosopiperazine,140-79-4,WNSYEWGYAFFSSQ-UHFFFAOYSA-N,"1,4-Dinitrosopiperazine",O=NN1CCN(CC1)N=O,InChI=1S/C4H8N4O2/c9-5-7-1-2-8(6-10)4-3-7/h1-4H2,C4H8N4O2,144.134,144.0647255,33,39,39,-
DTXSID0020529,"2,4-Dinitrotoluene",121-14-2,RMBFBMJGBANMMK-UHFFFAOYSA-N,"1-Methyl-2,4-dinitrobenzene",CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,"InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3",C7H6N2O4,182.135,182.0327567,105,379,116,12
DTXSID0020573,17beta-Estradiol,50-28-2,VOXZDWNPVJITMN-ZBRFXRBCSA-N,"(17beta)-Estra-1(10),2,4-triene-3,17-diol",[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17+,18+/m1/s1",C18H24O2,272.388,272.17763,102,81966,351,37
DTXSID0020575,Estragole,140-67-0,ZFMSMUAANRJZFM-UHFFFAOYSA-N,1-Methoxy-4-(prop-2-en-1-yl)benzene,COC1=CC=C(CC=C)C=C1,"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3",C10H12O,148.205,148.088815,72,120,96,46
DTXSID0020577,Ethionamide,536-33-4,AEOCXXJPGCBFJA-UHFFFAOYSA-N,2-Ethylpyridine-4-carbothioamide,CCC1=NC=CC(=C1)C(N)=S,"InChI=1S/C8H10N2S/c1-2-7-5-6(8(9)11)3-4-10-7/h3-5H,2H2,1H3,(H2,9,11)",C8H10N2S,166.24,166.0564695,55,1245,191,11
DTXSID0020602,Ethylene urea,120-93-4,YAMHXTCMCPHKLN-UHFFFAOYSA-N,Imidazolidin-2-one,O=C1NCCN1,"InChI=1S/C3H6N2O/c6-3-4-1-2-5-3/h1-2H2,(H2,4,5,6)",C3H6N2O,86.094,86.04801282,47,27,114,21
DTXSID0020604,4-Vinyl-1-cyclohexene dioxide,106-87-6,OECTYKWYRCHAKR-UHFFFAOYSA-N,3-(Oxiran-2-yl)-7-oxabicyclo[4.1.0]heptane,C1OC1C1CCC2OC2C1,"InChI=1/C8H12O2/c1-2-6-7(10-6)3-5(1)8-4-9-8/h5-8H,1-4H2",C8H12O2,140.182,140.0837296,65,101,71,4
DTXSID0020606,Bis(2-ethylhexyl)hexanedioate,103-23-1,SAOKZLXYCUGLFA-UHFFFAOYSA-N,Bis(2-ethylhexyl) hexanedioate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,"InChI=1/C22H42O4/c1-5-9-13-19(7-3)17-25-21(23)15-11-12-16-22(24)26-18-20(8-4)14-10-6-2/h19-20H,5-18H2,1-4H3",C22H42O4,370.574,370.3083098,111,87,84,198
DTXSID0020650,Gallic acid,149-91-7,LNTHITQWFMADLM-UHFFFAOYSA-N,"3,4,5-Trihydroxybenzoic acid",OC(=O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",C7H6O5,170.12,170.0215233,58,3082,162,9
DTXSID0020652,Gemfibrozil,25812-30-0,HEMJJKBWTPKOJG-UHFFFAOYSA-N,"5-(2,5-Dimethylphenoxy)-2,2-dimethylpentanoic acid",CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)",C15H22O3,250.338,250.1568946,78,1287,180,24
DTXSID0020654,Geranyl acetate,105-87-3,HIGQPQRQIQDZMP-DHZHZOJOSA-N,"(2E)-3,7-Dimethylocta-2,6-dien-1-yl acetate",CC(C)=CCC\C(C)=C\COC(C)=O,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+",C12H20O2,196.29,196.1463299,65,1,91,4731
DTXSID0020656,Gibberellic acid,77-06-5,IXORZMNAPKEEDV-OBDJNFEBSA-N,"(1S,2S,4aR,4bR,7S,9aS,10S,10aR)-2,7-Dihydroxy-1-methyl-8-methylidene-13-oxo-1,2,4b,5,6,7,8,9,10,10a-decahydro-4a,1-(epoxymethano)-7,9a-methanobenzo[a]azulene-10-carboxylic acid",C[C@@]12[C@H]3[C@H](C(O)=O)[C@@]45CC(=C)[C@@](O)(C4)CC[C@H]5[C@]3(OC1=O)C=C[C@@H]2O,"InChI=1S/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1",C19H22O6,346.379,346.1416384,71,890,121,40
DTXSID0020733,ICRF-159,21416-67-1,BMKDZUISNHGIBY-UHFFFAOYSA-N,"4,4'-(Propane-1,2-diyl)di(piperazine-2,6-dione)",CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,"InChI=1/C11H16N4O4/c1-7(15-5-10(18)13-11(19)6-15)2-14-3-8(16)12-9(17)4-14/h7H,2-6H2,1H3,(H,12,16,17)(H,13,18,19)",C11H16N4O4,268.273,268.117155,29,807,86,4
DTXSID0020737,Indole,120-72-9,SIKJAQJRHWYJAI-UHFFFAOYSA-N,1H-Indole,N1C=CC2=C1C=CC=C2,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H",C8H7N,117.151,117.0578492,83,1431,354,60
DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6,DHRRIBDTHFBPNG-UHFFFAOYSA-L,Magnesium chloride--water (1/2/6),O.O.O.O.O.O.[Mg++].[Cl-].[Cl-],InChI=1S/2ClH.Mg.6H2O/h2*1H;;6*1H2/q;;+2;;;;;;/p-2,Cl2H12MgO6,203.3,201.9861352,26,-,34,70
DTXSID0020810,6-Mercaptopurine,50-44-2,GLVAUDGFNGKCSF-UHFFFAOYSA-N,"1,9-Dihydro-6H-purine-6-thione",S=C1NC=NC2=C1N=CN2,"InChI=1S/C5H4N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",C5H4N4S,152.18,152.0156673,56,5864,292,25
DTXSID0020814,Mestranol,72-33-3,IMSSROKUHAOUJS-MJCUULBUSA-N,"(17alpha)-3-Methoxy-19-norpregna-1,3,5(10)-trien-20-yn-17-ol",COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,"InChI=1S/C21H26O2/c1-4-21(22)12-10-19-18-7-5-14-13-15(23-3)6-8-16(14)17(18)9-11-20(19,21)2/h1,6,8,13,17-19,22H,5,7,9-12H2,2-3H3/t17-,18-,19+,20+,21+/m1/s1",C21H26O2,310.437,310.1932801,69,2460,97,11
DTXSID0020818,Methapyrilene hydrochloride,135-23-9,BONORRGKLJBGRV-UHFFFAOYSA-N,"N~1~,N~1~-Dimethyl-N~2~-(pyridin-2-yl)-N~2~-[(thiophen-2-yl)methyl]ethane-1,2-diamine--hydrogen chloride (1/1)",Cl.CN(C)CCN(CC1=CC=CS1)C1=NC=CC=C1,"InChI=1S/C14H19N3S.ClH/c1-16(2)9-10-17(12-13-6-5-11-18-13)14-7-3-4-8-15-14;/h3-8,11H,9-10,12H2,1-2H3;1H",C14H20ClN3S,297.85,297.1066465,35,-,65,2
DTXSID0020862,3-Methylcholanthrene,56-49-5,PPQNQXQZIWHJRB-UHFFFAOYSA-N,"3-Methyl-1,2-dihydrocyclopenta[ij]tetraphene",CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23,"InChI=1S/C21H16/c1-13-6-7-15-12-20-17-5-3-2-4-14(17)8-9-18(20)19-11-10-16(13)21(15)19/h2-9,12H,10-11H2,1H3",C21H16,268.359,268.1252005,64,7154,88,2
DTXSID0020868,Dichloromethane,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,Dichloromethane,ClCCl,InChI=1S/CH2Cl2/c2-1-3/h1H2,CH2Cl2,84.93,83.9533555,116,1755,-,760
DTXSID0020941,Sodium nitrite,7632-00-0,LPXPTNMVRIOKMN-UHFFFAOYSA-M,Sodium nitrite,[Na+].[O-]N=O,"InChI=1S/HNO2.Na/c2-1-3;/h(H,2,3);/q;+1/p-1",NNaO2,68.995,68.98267252,70,1486,92,325
DTXSID0020943,2-Methoxy-5-nitroaniline,99-59-2,NIPDVSLAMPAWTP-UHFFFAOYSA-N,2-Methoxy-5-nitroaniline,COC1=C(N)C=C(C=C1)[N+]([O-])=O,"InChI=1S/C7H8N2O3/c1-12-7-3-2-5(9(10)11)4-6(7)8/h2-4H,8H2,1H3",C7H8N2O3,168.152,168.0534921,64,3,97,2
DTXSID0021040,N-Nitrosohexamethyleneimine,932-83-2,UZMVSVHUTOAPTD-UHFFFAOYSA-N,1-Nitrosoazepane,O=NN1CCCCCC1,InChI=1S/C6H12N2O/c9-7-8-5-3-1-2-4-6-8/h1-6H2,C6H12N2O,128.175,128.094963,33,13,30,-
DTXSID0021094,"4,4'-Oxydianiline",101-80-4,HLBLWEWZXPIGSM-UHFFFAOYSA-N,"4,4'-Oxydianiline",NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",C12H12N2O,200.241,200.094963,82,15,115,15
DTXSID0021096,N-Oxydiethylenebenzothiazole-2-sulfenamide,102-77-2,MHKLKWCYGIBEQF-UHFFFAOYSA-N,"2-[(Morpholin-4-yl)sulfanyl]-1,3-benzothiazole",C1CN(CCO1)SC1=NC2=C(S1)C=CC=C2,"InChI=1S/C11H12N2OS2/c1-2-4-10-9(3-1)12-11(15-10)16-13-5-7-14-8-6-13/h1-4H,5-8H2",C11H12N2OS2,252.35,252.0391054,56,7,75,22
DTXSID0021121,Phenformin hydrochloride,834-28-6,YSUCWSWKRIOILX-UHFFFAOYSA-N,N-(2-Phenylethyl)triimidodicarbonic diamide--hydrogen chloride (1/1),Cl.NC(=N)NC(=N)NCCC1=CC=CC=C1,"InChI=1S/C10H15N5.ClH/c11-9(12)15-10(13)14-7-6-8-4-2-1-3-5-8;/h1-5H,6-7H2,(H6,11,12,13,14,15);1H",C10H16ClN5,241.72,241.1094232,33,-,75,-
DTXSID0021123,Phenobarbital sodium,57-30-7,WRLGYAWRGXKSKG-UHFFFAOYSA-M,"Sodium 5-ethyl-4,6-dioxo-5-phenyl-1,4,5,6-tetrahydropyrimidin-2-olate",[Na+].CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1,"InChI=1/C12H12N2O3.Na/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16;/h3-7H,2H2,1H3,(H2,13,14,15,16,17);/q;+1/p-1",C12H11N2NaO3,254.221,254.0667365,39,17600,37,9
