	stitch_flat	stitch_stereo	UMLS_label	type	meddra	se_name	pubchem_cid	ukb	ae
561	CID100000158	CID005280360	C0020538	PT	C0020538	Hypertension	158	Non-cancer illness code, self-reported: hypertension	1
563	CID100000158	CID005280360	C0020649	PT	C0020649	Hypotension	158	Diagnoses - main ICD10: I95 Hypotension	1
577	CID100000158	CID005280360	C0027051	PT	C0027051	Myocardial infarction	158	Myocardial infarction	1
582	CID100000158	CID005280360	C0030193	PT	C0030193	Pain	158	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
599	CID100000158	CID005280360	C0039070	PT	C0039070	Syncope	158	Diagnoses - main ICD10: R55 Syncope and collapse	1
620	CID100000158	CID005280360	C0080274	PT	C0080274	Urinary retention	158	Diagnoses - main ICD10: R33 Retention of urine	1
633	CID100000158	CID005280360	C0231528	PT	C0231528	Myalgia	158	Myalgia	1
636	CID100000158	CID005280360	C0232292	PT	C0235710	Chest discomfort	158	Chest pain or discomfort	1
679	CID100000159	CID005282411	C0002871	PT	C0002871	Anaemia	159	Non-cancer illness code, self-reported: anaemia	1
685	CID100000159	CID005282411	C0003862	PT	C0003862	Arthralgia	159	Non-cancer illness code, self-reported: joint pain	1
688	CID100000159	CID005282411	C0003864	PT	C0003864	Arthritis	159	Non-cancer illness code, self-reported: arthritis (nos)	1
690	CID100000159	CID005282411	C0003962	PT	C0003962	Ascites	159	Diagnoses - main ICD10: R18 Ascites	1
694	CID100000159	CID005282411	C0004604	PT	C0004604	Back pain	159	Dorsalgia	1
698	CID100000159	CID005282411	C0007642	PT	C0007642	Cellulitis	159	Diagnoses - main ICD10: L03 Cellulitis	1
700	CID100000159	CID005282411	C0007859	PT	C0007859	Neck pain	159	Cervicalgia	1
702	CID100000159	CID005282411	C0008031	PT	C0008031	Chest pain	159	Chest pain or discomfort	1
710	CID100000159	CID005282411	C0009806	PT	C0009806	Constipation	159	Non-cancer illness code, self-reported: constipation	1
712	CID100000159	CID005282411	C0010200	PT	C0010200	Cough	159	Diagnoses - main ICD10: R05 Cough	1
716	CID100000159	CID005282411	C0011570	PT	C0011570	Depression	159	Non-cancer illness code, self-reported: depression	1
722	CID100000159	CID005282411	C0013395	PT	C0013395	Dyspepsia	159	Diagnoses - main ICD10: K30 Dyspepsia	1
726	CID100000159	CID005282411	C0013595	PT	C0013595	Eczema	159	Eczema	1
734	CID100000159	CID005282411	C0015230	PT	C0015230	Rash	159	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
748	CID100000159	CID005282411	C0017178	PT	C0017178	Gastrointestinal disorder	159	Non-cancer illness code, self-reported: stomach disorder	1
750	CID100000159	CID005282411	C0018681	PT	C0018681	Headache	159	Diagnoses - main ICD10: R51 Headache	1
754	CID100000159	CID005282411	C0018801	PT	C0018801	Cardiac failure	159	Heart failure	1
756	CID100000159	CID005282411	C0018965	PT	C0018965	Haematuria	159	Diagnoses - main ICD10: R31 Unspecified haematuria	1
777	CID100000159	CID005282411	C0020649	PT	C0020649	Hypotension	159	Diagnoses - main ICD10: I95 Hypotension	1
787	CID100000159	CID005282411	C0027051	PT	C0027051	Myocardial infarction	159	Myocardial infarction	1
792	CID100000159	CID005282411	C0027765	PT	C0027765	Nervous system disorder	159	Diseases of the nervous system	1
797	CID100000159	CID005282411	C0030193	PT	C0030193	Pain	159	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
809	CID100000159	CID005282411	C0032227	PT	C0032227	Pleural effusion	159	Diagnoses - main ICD10: J90 Pleural effusion, not elsewhere classified	1
811	CID100000159	CID005282411	C0032285	PT	C0032285	Pneumonia	159	Non-cancer illness code, self-reported: pneumonia	1
813	CID100000159	CID005282411	C0032326	PT	C0032326	Pneumothorax	159	Diagnoses - main ICD10: J93 Pneumothorax	1
815	CID100000159	CID005282411	C0033774	PT	C0033774	Pruritus	159	Diagnoses - main ICD10: L29 Pruritus	1
819	CID100000159	CID005282411	C0034065	PT	C0034065	Pulmonary embolism	159	Diagnoses - main ICD10: I26 Pulmonary embolism	1
827	CID100000159	CID005282411	C0037199	PT	C0037199	Sinusitis	159	Diagnoses - main ICD10: J32 Chronic sinusitis	1
838	CID100000159	CID005282411	C0039070	PT	C0039070	Syncope	159	Diagnoses - main ICD10: R55 Syncope and collapse	1
844	CID100000159	CID005282411	C0040034	PT	C0040034	Thrombocytopenia	159	Thrombocytopenia, unspecified	1
850	CID100000159	CID005282411	C0042109	PT	C0042109	Urticaria	159	Non-cancer illness code, self-reported: urticaria	1
862	CID100000159	CID005282411	C0085096	PT	C0085096	Peripheral vascular disorder	159	Non-cancer illness code, self-reported: peripheral vascular disease	1
880	CID100000159	CID005282411	C0231528	PT	C0231528	Myalgia	159	Myalgia	1
883	CID100000159	CID005282411	C0232292	PT	C0235710	Chest discomfort	159	Chest pain or discomfort	1
889	CID100000159	CID005282411	C0235527	PT	C2939447	Right ventricular failure	159	Heart failure	1
899	CID100000159	CID005282411	C0270458	PT	C1269683	Major depression	159	Non-cancer illness code, self-reported: depression	1
920	CID100000159	CID005282411	C0917801	PT	C0917801	Insomnia	159	Non-cancer illness code, self-reported: insomnia	1
935	CID100000160	CID005280363	C0004604	PT	C0004604	Back pain	160	Dorsalgia	1
953	CID100000160	CID005280363	C0020649	PT	C0020649	Hypotension	160	Diagnoses - main ICD10: I95 Hypotension	1
980	CID100000175	CID000000175	C0018965	PT	C0018965	Haematuria	175	Diagnoses - main ICD10: R31 Unspecified haematuria	1
984	CID100000175	CID000000175	C0030193	PT	C0030193	Pain	175	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
996	CID100000187	CID000000187	C0020649	PT	C0020649	Hypotension	187	Diagnoses - main ICD10: I95 Hypotension	1
1010	CID100000191	CID000060961	C0003811	PT	C0003811	Arrhythmia	191	Non-cancer illness code, self-reported: heart arrhythmia	1
1014	CID100000191	CID000060961	C0004238	PT	C0004238	Atrial fibrillation	191	Non-cancer illness code, self-reported: atrial fibrillation	1
1016	CID100000191	CID000060961	C0004245	PT	C0004245	Atrioventricular block	191	AV-block	1
1018	CID100000191	CID000060961	C0004604	PT	C0004604	Back pain	191	Dorsalgia	1
1022	CID100000191	CID000060961	C0008031	PT	C0008031	Chest pain	191	Chest pain or discomfort	1
1024	CID100000191	CID000060961	C0010200	PT	C0010200	Cough	191	Diagnoses - main ICD10: R05 Cough	1
1032	CID100000191	CID000060961	C0015230	PT	C0015230	Rash	191	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
1037	CID100000191	CID000060961	C0018681	PT	C0018681	Headache	191	Diagnoses - main ICD10: R51 Headache	1
1043	CID100000191	CID000060961	C0018801	PT	C0018801	Cardiac failure	191	Heart failure	1
1047	CID100000191	CID000060961	C0020538	PT	C0020538	Hypertension	191	Non-cancer illness code, self-reported: hypertension	1
1051	CID100000191	CID000060961	C0020649	PT	C0020649	Hypotension	191	Diagnoses - main ICD10: I95 Hypotension	1
1055	CID100000191	CID000060961	C0027051	PT	C0027051	Myocardial infarction	191	Myocardial infarction	1
1068	CID100000191	CID000060961	C0030193	PT	C0030193	Pain	191	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
1083	CID100000191	CID000060961	C0038454	PT	C0038454	Cerebrovascular accident	191	STROKE	1
1090	CID100000191	CID000060961	C0039070	PT	C0039070	Syncope	191	Diagnoses - main ICD10: R55 Syncope and collapse	1
1104	CID100000191	CID000060961	C0042109	PT	C0042109	Urticaria	191	Non-cancer illness code, self-reported: urticaria	1
1121	CID100000191	CID000060961	C0085614	PT	C0085614	Atrioventricular block first degree	191	AV-block	1
1125	CID100000191	CID000060961	C0085633	PT	C0085633	Mood swings	191	Mood swings	1
1128	CID100000191	CID000060961	C0151517	PT	C0151517	Atrioventricular block complete	191	AV-block	1
1161	CID100000191	CID000060961	C0235710	PT	C0235710	Chest discomfort	191	Chest pain or discomfort	1
1167	CID100000191	CID000060961	C0264906	PT	C0264906	Atrioventricular block second degree	191	AV-block	1
1175	CID100000191	CID000060961	C0494475	PT	C0014549	Grand mal convulsion	191	Non-cancer illness code, self-reported: epilepsy	1
1199	CID100000191	CID000060961	C1956346	PT	C1956346	Coronary artery disease	191	Coronary Artery Disease	1
1209	CID100000206	CID000000206	C0007682	PT	C0027765	Nervous system disorder	206	Diseases of the nervous system	1
1226	CID100000206	CID000000206	C0018681	PT	C0018681	Headache	206	Diagnoses - main ICD10: R51 Headache	1
1228	CID100000206	CID000000206	C0018802	PT	C0018802	Cardiac failure congestive	206	Heart failure	1
1234	CID100000206	CID000000206	C0020538	PT	C0020538	Hypertension	206	Non-cancer illness code, self-reported: hypertension	1
1238	CID100000206	CID000000206	C0022107	PT	C0022107	Irritability	206	Irritability	1
1242	CID100000206	CID000000206	C0030193	PT	C0030193	Pain	206	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
1244	CID100000206	CID000000206	C0031542	PT	C0031542	Phlebitis	206	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	1
1246	CID100000206	CID000000206	C0034065	PT	C0034065	Pulmonary embolism	206	Diagnoses - main ICD10: I26 Pulmonary embolism	1
1268	CID100000206	CID000000206	C0423153	PT	C0152227	Lacrimation increased	206	Epiphora	1
1290	CID100000214	CID005280723	C0002871	PT	C0002871	Anaemia	214	Non-cancer illness code, self-reported: anaemia	1
1292	CID100000214	CID005280723	C0002884	PT	C0002884	Hypochromic anaemia	214	Diagnoses - main ICD10: D50 Iron deficiency anaemia	1
1300	CID100000214	CID005280723	C0004604	PT	C0004604	Back pain	214	Dorsalgia	1
1304	CID100000214	CID005280723	C0006277	PT	C0006277	Bronchitis	214	Bronchitis	1
1308	CID100000214	CID005280723	C0010200	PT	C0010200	Cough	214	Diagnoses - main ICD10: R05 Cough	1
1318	CID100000214	CID005280723	C0013395	PT	C0013395	Dyspepsia	214	Diagnoses - main ICD10: K30 Dyspepsia	1
1324	CID100000214	CID005280723	C0015230	PT	C0015230	Rash	214	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
1334	CID100000214	CID005280723	C0016658	PT	C0016658	Fracture	214	Non-cancer illness code, self-reported: bone disorder	1
1336	CID100000214	CID005280723	C0018681	PT	C0018681	Headache	214	Diagnoses - main ICD10: R51 Headache	1
1340	CID100000214	CID005280723	C0018802	PT	C0018802	Cardiac failure congestive	214	Heart failure	1
1344	CID100000214	CID005280723	C0018965	PT	C0018965	Haematuria	214	Diagnoses - main ICD10: R31 Unspecified haematuria	1
1349	CID100000214	CID005280723	C0019294	PT	C0019294	Inguinal hernia	214	Diagnoses - main ICD10: K40 Inguinal hernia	1
1356	CID100000214	CID005280723	C0020443	PT	C0020443	Hypercholesterolaemia	214	Non-cancer illness code, self-reported: high cholesterol	1
1364	CID100000214	CID005280723	C0020538	PT	C0020538	Hypertension	214	Non-cancer illness code, self-reported: hypertension	1
1377	CID100000214	CID005280723	C0020649	PT	C0020649	Hypotension	214	Diagnoses - main ICD10: I95 Hypotension	1
1386	CID100000214	CID005280723	C0023222	PT	C0030196	Pain in extremity	214	Pain in limb	1
1392	CID100000214	CID005280723	C0027051	PT	C0027051	Myocardial infarction	214	Myocardial infarction	1
1404	CID100000214	CID005280723	C0030193	PT	C0030193	Pain	214	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
1412	CID100000214	CID005280723	C0031154	PT	C0031154	Peritonitis	214	Non-cancer illness code, self-reported: peritonitis	1
1420	CID100000214	CID005280723	C0032326	PT	C0032326	Pneumothorax	214	Diagnoses - main ICD10: J93 Pneumothorax	1
1428	CID100000214	CID005280723	C0033581	PT	C0033581	Prostatitis	214	Diagnoses - main ICD10: N41 Inflammatory diseases of prostate	1
1430	CID100000214	CID005280723	C0033774	PT	C0033774	Pruritus	214	Diagnoses - main ICD10: L29 Pruritus	1
1442	CID100000214	CID005280723	C0037199	PT	C0037199	Sinusitis	214	Diagnoses - main ICD10: J32 Chronic sinusitis	1
1457	CID100000214	CID005280723	C0039070	PT	C0039070	Syncope	214	Diagnoses - main ICD10: R55 Syncope and collapse	1
1469	CID100000214	CID005280723	C0040034	PT	C0040034	Thrombocytopenia	214	Thrombocytopenia, unspecified	1
1493	CID100000214	CID005280723	C0085096	PT	C0085096	Peripheral vascular disorder	214	Non-cancer illness code, self-reported: peripheral vascular disease	1
1541	CID100000214	CID005280723	C0241863	PT	C0011849	Diabetes mellitus	214	Non-cancer illness code, self-reported: diabetes	1
1545	CID100000214	CID005280723	C0264906	PT	C0264906	Atrioventricular block second degree	214	AV-block	1
1590	CID100000214	CID005280723	C0750466	PT	C0026946	Fungal infection	214	Mycoses	1
1616	CID100000214	CID005280723	C2937358	PT	C2937358	Cerebral haemorrhage	214	Diagnoses - main ICD10: I61 Intracerebral haemorrhage	1
1743	CID100000222	CID000000222	C0030193	PT	C0030193	Pain	222	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
1745	CID100000222	CID000000222	C0031542	PT	C0031542	Phlebitis	222	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	1
1761	CID100000232	CID000006322	C0015230	PT	C0015230	Rash	232	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
1768	CID100000232	CID000006322	C0018681	PT	C0018681	Headache	232	Diagnoses - main ICD10: R51 Headache	1
1770	CID100000232	CID000006322	C0018965	PT	C0018965	Haematuria	232	Diagnoses - main ICD10: R31 Unspecified haematuria	1
1810	CID100000244	CID000000244	C0015230	PT	C0015230	Rash	244	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
1817	CID100000244	CID000000244	C0030193	PT	C0030193	Pain	244	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
1821	CID100000244	CID000000244	C0033774	PT	C0033774	Pruritus	244	Diagnoses - main ICD10: L29 Pruritus	1
1841	CID100000244	CID000000244	C0701836	PT	C0701836	Thermal burn	244	Non-cancer illness code, self-reported: burns	1
1857	CID100000247	CID000000247	C0017178	PT	C0017178	Gastrointestinal disorder	247	Non-cancer illness code, self-reported: stomach disorder	1
1861	CID100000247	CID000000247	C0018681	PT	C0018681	Headache	247	Diagnoses - main ICD10: R51 Headache	1
1865	CID100000247	CID000000247	C0022107	PT	C0022107	Irritability	247	Irritability	1
1869	CID100000247	CID000000247	C0027765	PT	C0027765	Nervous system disorder	247	Diseases of the nervous system	1
1873	CID100000247	CID000000247	C0037317	PT	C0851578	Sleep disorder	247	Diagnoses - main ICD10: G47 Sleep disorders	1
1877	CID100000247	CID000000247	C0042024	PT	C0042024	Urinary incontinence	247	Diagnoses - main ICD10: R32 Unspecified urinary incontinence	1
1882	CID100000247	CID000000247	C0042109	PT	C0042109	Urticaria	247	Non-cancer illness code, self-reported: urticaria	1
1910	CID100000271	CID000000271	C0003811	PT	C0003811	Arrhythmia	271	Non-cancer illness code, self-reported: heart arrhythmia	1
1921	CID100000271	CID000000271	C0009806	PT	C0009806	Constipation	271	Non-cancer illness code, self-reported: constipation	1
1937	CID100000271	CID000000271	C0020649	PT	C0020649	Hypotension	271	Diagnoses - main ICD10: I95 Hypotension	1
1943	CID100000271	CID000000271	C0033774	PT	C0033774	Pruritus	271	Diagnoses - main ICD10: L29 Pruritus	1
1948	CID100000271	CID000000271	C0039070	PT	C0039070	Syncope	271	Diagnoses - main ICD10: R55 Syncope and collapse	1
1981	CID100000298	CID000005959	C0001824	PT	C0001824	Agranulocytosis	298	Diagnoses - main ICD10: D70 Agranulocytosis	1
2002	CID100000298	CID000005959	C0015230	PT	C0015230	Rash	298	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
2011	CID100000298	CID000005959	C0018681	PT	C0018681	Headache	298	Diagnoses - main ICD10: R51 Headache	1
2027	CID100000298	CID000005959	C0027765	PT	C0027765	Nervous system disorder	298	Diseases of the nervous system	1
2030	CID100000298	CID000005959	C0027813	PT	C0031117	Neuropathy peripheral	298	Non-cancer illness code, self-reported: peripheral neuropathy	1
2034	CID100000298	CID000005959	C0033774	PT	C0033774	Pruritus	298	Diagnoses - main ICD10: L29 Pruritus	1
2038	CID100000298	CID000005959	C0040034	PT	C0040034	Thrombocytopenia	298	Thrombocytopenia, unspecified	1
2042	CID100000298	CID000005959	C0042109	PT	C0042109	Urticaria	298	Non-cancer illness code, self-reported: urticaria	1
2071	CID100000298	CID000005959	C0425492	PT	C0035204	Respiratory disorder	298	Diseases of the respiratory system	1
2073	CID100000298	CID000005959	C0542184	PT	C0017178	Gastrointestinal disorder	298	Non-cancer illness code, self-reported: stomach disorder	1
2075	CID100000298	CID000005959	C0677500	PT	C0030193	Pain	298	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
2088	CID100000303	CID000221493	C0014869	PT	C0017168	Gastrooesophageal reflux disease	303	Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease	1
2090	CID100000303	CID000221493	C0017178	PT	C0017178	Gastrointestinal disorder	303	Non-cancer illness code, self-reported: stomach disorder	1
2092	CID100000303	CID000221493	C0022346	PT	C0022346	Jaundice	303	Diagnoses - main ICD10: R17 Unspecified jaundice	1
2096	CID100000303	CID000221493	C0027765	PT	C0027765	Nervous system disorder	303	Diseases of the nervous system	1
2098	CID100000303	CID000221493	C0031117	PT	C0031117	Neuropathy peripheral	303	Non-cancer illness code, self-reported: peripheral neuropathy	1
2100	CID100000303	CID000221493	C0033774	PT	C0033774	Pruritus	303	Diagnoses - main ICD10: L29 Pruritus	1
2111	CID100000303	CID000221493	C0267792	PT	C0267792	Hepatobiliary disease	303	Diseases of liver	1
2130	CID100000311	CID000000311	C0020649	PT	C0020649	Hypotension	311	Diagnoses - main ICD10: I95 Hypotension	1
2161	CID100000311	CID000000311	C0948807	PT	C0023895	Liver disorder	311	Diseases of liver	1
2178	CID100000312	CID000000312	C0015230	PT	C0015230	Rash	312	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
2187	CID100000312	CID000000312	C0017181	PT	C0017181	Gastrointestinal haemorrhage	312	GI-bleeding	1
2197	CID100000312	CID000000312	C0031542	PT	C0031542	Phlebitis	312	Diagnoses - main ICD10: I80 Phlebitis and thrombophlebitis	1
2215	CID100000338	CID000000338	C0004096	PT	C0004096	Asthma	338	Non-cancer illness code, self-reported: asthma	1
2220	CID100000338	CID000000338	C0009806	PT	C0009806	Constipation	338	Non-cancer illness code, self-reported: constipation	1
2228	CID100000338	CID000000338	C0013295	PT	C0013295	Duodenal ulcer	338	Non-cancer illness code, self-reported: duodenal ulcer	1
2232	CID100000338	CID000000338	C0013395	PT	C0013395	Dyspepsia	338	Diagnoses - main ICD10: K30 Dyspepsia	1
2242	CID100000338	CID000000338	C0014868	PT	C0014868	Oesophagitis	338	Diagnoses - main ICD10: K20 Oesophagitis	1
2244	CID100000338	CID000000338	C0015230	PT	C0015230	Rash	338	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
2249	CID100000338	CID000000338	C0018681	PT	C0018681	Headache	338	Diagnoses - main ICD10: R51 Headache	1
2253	CID100000338	CID000000338	C0019158	PT	C0019158	Hepatitis	338	Non-cancer illness code, self-reported: hepatitis	1
2259	CID100000338	CID000000338	C0033774	PT	C0033774	Pruritus	338	Diagnoses - main ICD10: L29 Pruritus	1
2261	CID100000338	CID000000338	C0038358	PT	C0038358	Gastric ulcer	338	Diagnoses - main ICD10: K25 Gastric ulcer	1
2267	CID100000338	CID000000338	C0042109	PT	C0042109	Urticaria	338	Non-cancer illness code, self-reported: urticaria	1
2285	CID100000338	CID000000338	C0677500	PT	C0030193	Pain	338	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
2303	CID100000401	CID000006234	C0013362	PT	C0029408	Osteoarthritis	401	Non-cancer illness code, self-reported: osteoarthritis	1
2306	CID100000401	CID000006234	C0015230	PT	C0015230	Rash	401	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
2309	CID100000401	CID000006234	C0018681	PT	C0018681	Headache	401	Diagnoses - main ICD10: R51 Headache	1
2311	CID100000401	CID000006234	C0018802	PT	C0018802	Cardiac failure congestive	401	Heart failure	1
2325	CID100000401	CID000006234	C0042571	PT	C0042571	Vertigo	401	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
2350	CID100000444	CID000000444	C0002622	PT	C0002622	Amnesia	444	Memory loss	1
2354	CID100000444	CID000000444	C0002871	PT	C0002871	Anaemia	444	Non-cancer illness code, self-reported: anaemia	1
2366	CID100000444	CID000000444	C0003811	PT	C0003811	Arrhythmia	444	Non-cancer illness code, self-reported: heart arrhythmia	1
2368	CID100000444	CID000000444	C0003862	PT	C0003862	Arthralgia	444	Non-cancer illness code, self-reported: joint pain	1
2371	CID100000444	CID000000444	C0003864	PT	C0003864	Arthritis	444	Non-cancer illness code, self-reported: arthritis (nos)	1
2375	CID100000444	CID000000444	C0004096	PT	C0004096	Asthma	444	Non-cancer illness code, self-reported: asthma	1
2381	CID100000444	CID000000444	C0004604	PT	C0004604	Back pain	444	Dorsalgia	1
2385	CID100000444	CID000000444	C0005586	PT	C0005586	Bipolar disorder	444	Diagnoses - main ICD10: F31 Bipolar affective disorder	1
2386	CID100000444	CID000000444	C0005586	PT	C0853193	Bipolar I disorder	444	Diagnoses - main ICD10: F31 Bipolar affective disorder	1
2390	CID100000444	CID000000444	C0006142	PT	C0006142	Breast cancer	444	Breast Cancer	1
